task_name,input_file_name,city
Siri Fort,siri_fort.mp3,DELHI
Vishnu Garden,vishnu_garden.mp3,DELHI
Shahdara,shahdara.mp3,DELHI
Paschim Vihar,paschim_vihar.mp3,DELHI
Sadar bazar,sadar_bazar.mp3,DELHI
Tilak nagar,tilak_nagar.mp3,DELHI
Lajpat Nagar,lajpat_nagar.mp3,DELHI
Rohini,rohini.mp3,DELHI
Punjabi Bagh,punjabi_bagh.mp3,DELHI
Bali Nagar,bali_nagar.mp3,DELHI
Kirti Nagar,kirti_nagar.mp3,DELHI
DELHI Cantoment,DELHI_cantoment.mp3,DELHI
Shakurpur,shakurpur.mp3,DELHI
Kailash Colony,kailash_colony.mp3,DELHI
Malviya Nagar,malviya_nagar.mp3,DELHI
Rohini Sector 12,rohini_sector_12.mp3,DELHI
New Ashok Nagar,new_ashok_nagar.mp3,DELHI
Ashok Nagar,ashok_nagar.mp3,DELHI
Vishal Enclave,vishal_enclave.mp3,DELHI
Ramesh Nagar,ramesh_nagar.mp3,DELHI
Hauz Khas,hauz_khas.mp3,DELHI
Hari Nagar,hari_nagar.mp3,DELHI
Rohini Sector 9,rohini_sector_9.mp3,DELHI
Gautam Nagar,gautam_nagar.mp3,DELHI
Nehru Place,nehru_place.mp3,DELHI
Krishna Nagar,krishna_nagar.mp3,DELHI
Kalkaji,kalkaji.mp3,DELHI
Tri Nagar,tri_nagar.mp3,DELHI
Rohini Sector 5,rohini_sector_5.mp3,DELHI
Dwarka,dwarka.mp3,DELHI
Rohini Sector 16,rohini_sector_16.mp3,DELHI
Rohini Sector 8,rohini_sector_8.mp3,DELHI
Ajmeri Gate,ajmeri_gate.mp3,DELHI
Mandawali,mandawali.mp3,DELHI
Asian Games Village Complex,asian_games_village_complex.mp3,DELHI
Mansarover Garden,mansarover_garden.mp3,DELHI
Mayapuri,mayapuri.mp3,DELHI
Rajender Nagar,rajender_nagar.mp3,DELHI
Karol Bagh,karol_bagh.mp3,DELHI
Indraprastha Extension,indraprastha_extension.mp3,DELHI
Raja Garden,raja_garden.mp3,DELHI
Civil Lines,civil_lines.mp3,DELHI
Vikas Puri,vikas_puri.mp3,DELHI
Khirki Extension,khirki_extension.mp3,DELHI
Panchsheel Park,panchsheel_park.mp3,DELHI
Soami Nagar,soami_nagar.mp3,DELHI
Patparganj,patparganj.mp3,DELHI
Chandni Chowk,chandni_chowk.mp3,DELHI
Green Park,green_park.mp3,DELHI
Pushp Vihar,pushp_vihar.mp3,DELHI
Tagore Garden,tagore_garden.mp3,DELHI
Uttam Nagar,uttam_nagar.mp3,DELHI
Sri Niwaspuri,sri_niwaspuri.mp3,DELHI
Rajouri Garden,rajouri_garden.mp3,DELHI
Subhash Nagar,subhash_nagar.mp3,DELHI
Kidwai Nagar,kidwai_nagar.mp3,DELHI
Chirag DELHI,chirag_DELHI.mp3,DELHI
Adarsh Nagar,adarsh_nagar.mp3,DELHI
Greater Kailash I,greater_kailash_i.mp3,DELHI
Moti Nagar,moti_nagar.mp3,DELHI
Sadiq Nagar,sadiq_nagar.mp3,DELHI
Anand Vihar,anand_vihar.mp3,DELHI
Pira Garhi,pira_garhi.mp3,DELHI
Chittaranjan Park,chittaranjan_park.mp3,DELHI
Rohini Sector 10,rohini_sector_10.mp3,DELHI
C R Park,c_r_park.mp3,DELHI
South Extension Part 2,south_extension_part_2.mp3,DELHI
Bhogal,bhogal.mp3,DELHI
East Of Kailash,east_of_kailash.mp3,DELHI
Connaught Place,connaught_place.mp3,DELHI
Okhla,okhla.mp3,DELHI
Geeta Colony,geeta_colony.mp3,DELHI
Indraprastha Estate,indraprastha_estate.mp3,DELHI
Safdarjung Enclave,safdarjung_enclave.mp3,DELHI
Mangolpuri,mangolpuri.mp3,DELHI
