task_name,input_file_name,city
NANDANPUR ROAD,nandanpur_road.mp3,JALANDHAR
NAKODER ROAD,nakoder_road.mp3,JALANDHAR
Natha Bagechi,natha_bagechi.mp3,JALANDHAR
Naqvi Colony,naqvi_colony.mp3,JALANDHAR
National Avenue,national_avenue.mp3,JALANDHAR
Nauhrian Bazar,nauhrian_bazar.mp3,JALANDHAR
Navjoti Colony,navjoti_colony.mp3,JALANDHAR
Naya Bazar,naya_bazar.mp3,JALANDHAR
Neche Band Gali,neche_band_gali.mp3,JALANDHAR
Nechey Bandh Gali,nechey_bandh_gali.mp3,JALANDHAR
Neela Mahal,neela_mahal.mp3,JALANDHAR
Netaji Park,netaji_park.mp3,JALANDHAR
NEW ABADI BHARGO CAMP,new_abadi_bhargo_camp.mp3,JALANDHAR
Neem Wali Gali,neem_wali_gali.mp3,JALANDHAR
NEW ABADI CANTT ROAD GARHA,new_abadi_cantt_road_garha.mp3,JALANDHAR
NEW ABADI GARHA,new_abadi_garha.mp3,JALANDHAR
NEW ABADI GOBIND NAGAR,new_abadi_gobind_nagar.mp3,JALANDHAR
New Abadi Jallowal,new_abadi_jallowal.mp3,JALANDHAR
New Abadpura,new_abadpura.mp3,JALANDHAR
New Ajit Nagar,new_ajit_nagar.mp3,JALANDHAR
New Adarsh Nagar,new_adarsh_nagar.mp3,JALANDHAR
New Aman Nagar,new_aman_nagar.mp3,JALANDHAR
New Anand Nagar,new_anand_nagar.mp3,JALANDHAR
New Amrik Nagar,new_amrik_nagar.mp3,JALANDHAR
New Arora Colony,new_arora_colony.mp3,JALANDHAR
New Ashok Nagar,new_ashok_nagar.mp3,JALANDHAR
New Avtar Nagar,new_avtar_nagar.mp3,JALANDHAR
New Baldev Nagar,new_baldev_nagar.mp3,JALANDHAR
New Baradari,new_baradari.mp3,JALANDHAR
New Basant Nagar,new_basant_nagar.mp3,JALANDHAR
New Beant Nagar,new_beant_nagar.mp3,JALANDHAR
New Chandigarh Mohalla,new_chandigarh_mohalla.mp3,JALANDHAR
NEW COLONEY MODEL HOUSE,new_coloney_model_house.mp3,JALANDHAR
New Colony,new_colony.mp3,JALANDHAR
New Colony Gopal Nagar,new_colony_gopal_nagar.mp3,JALANDHAR
NEW COLONY MODEL TOWN,new_colony_model_town.mp3,JALANDHAR
New Courts Chowk,new_courts_chowk.mp3,JALANDHAR
New Defence Colony,new_defence_colony.mp3,JALANDHAR
New Dilbagh Nagar,new_dilbagh_nagar.mp3,JALANDHAR
New Deol Nagar,new_deol_nagar.mp3,JALANDHAR
New Dashmesh Nagar,new_dashmesh_nagar.mp3,JALANDHAR
Narayan Nagar,narayan_nagar.mp3,JALANDHAR
New Gandhi Nagar,new_gandhi_nagar.mp3,JALANDHAR
New Gautam Nagar,new_gautam_nagar.mp3,JALANDHAR
New Geeta Colony,new_geeta_colony.mp3,JALANDHAR
New Gopal Nagar,new_gopal_nagar.mp3,JALANDHAR
New Grain Market,new_grain_market.mp3,JALANDHAR
New Ghai Nagar,new_ghai_nagar.mp3,JALANDHAR
New Gobind Nagar,new_gobind_nagar.mp3,JALANDHAR
New Green Park,new_green_park.mp3,JALANDHAR
New Green Model Town,new_green_model_town.mp3,JALANDHAR
New GTB Nagar,new_gtb_nagar.mp3,JALANDHAR
New Guru Amar Dass Nagar Ext.,new_guru_amar_dass_nagar_ext..mp3,JALANDHAR
New Guru Nanak Nagar,new_guru_nanak_nagar.mp3,JALANDHAR
New Guru Amar Das Extension,new_guru_amar_das_extension.mp3,JALANDHAR
New Guru Nanak Pura (West),new_guru_nanak_pura_(west).mp3,JALANDHAR
New Garden Colony,new_garden_colony.mp3,JALANDHAR
New Hardial Nagar,new_hardial_nagar.mp3,JALANDHAR
New Harbans Nagar Ext.,new_harbans_nagar_ext..mp3,JALANDHAR
New Hardyal Nagar,new_hardyal_nagar.mp3,JALANDHAR
New Isharpuri,new_isharpuri.mp3,JALANDHAR
NEW JAWAHAR NAGAR MARKET,new_jawahar_nagar_market.mp3,JALANDHAR
NEW ISHER PURI,new_isher_puri.mp3,JALANDHAR
New Jawala Nagar,new_jawala_nagar.mp3,JALANDHAR
New Joginder Nagar,new_joginder_nagar.mp3,JALANDHAR
New Jawahar Nagar,new_jawahar_nagar.mp3,JALANDHAR
New Ganesh Nagar,new_ganesh_nagar.mp3,JALANDHAR
NEW FRIEND COLONEY,new_friend_coloney.mp3,JALANDHAR
New Kalgidhar Avenue,new_kalgidhar_avenue.mp3,JALANDHAR
New Kartar Nagar,new_kartar_nagar.mp3,JALANDHAR
New Harbans Nagar,new_harbans_nagar.mp3,JALANDHAR
New Lasuri Mohalla,new_lasuri_mohalla.mp3,JALANDHAR
New Light Colony Phase,new_light_colony_phase.mp3,JALANDHAR
New Model Town Mall Road,new_model_town_mall_road.mp3,JALANDHAR
New Light Colony,new_light_colony.mp3,JALANDHAR
New Model House,new_model_house.mp3,JALANDHAR
New Nagra,new_nagra.mp3,JALANDHAR
New Preet Nagar,new_preet_nagar.mp3,JALANDHAR
New Patel Nagar,new_patel_nagar.mp3,JALANDHAR
New Moti Nagar,new_moti_nagar.mp3,JALANDHAR
New Prithvi Nagar,new_prithvi_nagar.mp3,JALANDHAR
NEW RAILWAY ROAD,new_railway_road.mp3,JALANDHAR
New Prem Nagar,new_prem_nagar.mp3,JALANDHAR
New Raj Nagar,new_raj_nagar.mp3,JALANDHAR
New Raja Garden,new_raja_garden.mp3,JALANDHAR
New Raja Garden Extension,new_raja_garden_extension.mp3,JALANDHAR
New Rajinder Nagar,new_rajinder_nagar.mp3,JALANDHAR
New Rasila Nagar Basti Danishmandan,new_rasila_nagar_basti_danishmandan.mp3,JALANDHAR
New Rattan Nagar,new_rattan_nagar.mp3,JALANDHAR
New Sabzi Mandi,new_sabzi_mandi.mp3,JALANDHAR
New Ravidass Nagar,new_ravidass_nagar.mp3,JALANDHAR
New Sant Nagar,new_sant_nagar.mp3,JALANDHAR
New Santokhpura,new_santokhpura.mp3,JALANDHAR
New Shastri Nagar,new_shastri_nagar.mp3,JALANDHAR
New Shaheed Babu Labh Singh Nagar,new_shaheed_babu_labh_singh_nagar.mp3,JALANDHAR
New Lakshmipura,new_lakshmipura.mp3,JALANDHAR
New Shiv Nagar,new_shiv_nagar.mp3,JALANDHAR
